Failure Number,Time to Failure
1,60
1,30
1,540
1,67
1,40
1,23
1,5
1,53
1,4
1,16
1,94
1,15
1,5
1,90
1,77
1,68
1,15
1,137
1,23
1,1
1,104
1,16
1,9
1,10
1,12
1,4
1,10
1,82
1,6
1,54
1,25
1,43
1,12
1,48
1,23
1,6
1,10
1,12
1,14
1,33
1,9
1,4
1,66
1,0.5
1,18
1,15
1,75
1,30
1,116
1,14
1,15
1,41
1,1
1,99
1,9
1,45
1,68
1,36
1,50
1,81
1,89
1,85
1,54
1,3
1,15
1,6
1,8
1,36
1,98
1,32
1,36
1,5
1,9
1,60
1,34
1,16
1,164
1,123
1,19
1,19
1,126
1,36
1,54
1,15
1,16
1,154
1,84
1,92
1,247
1,244
1,60
1,5
1,2
1,5
1,130
1,0.5
1,233
1,50
1,54
1,52
1,57
1,1
1,2
1,5
1,1
1,17
1,14
1,2
1,87
1,19
1,29
1,0.5
1,61
1,118
1,20
1,3
1,11
1,87
1,5
1,249
1,28
1,44
1,31
1,3
1,10
1,3
1,8
1,17
1,3
1,55
1,7
1,12
1,6
1,4
1,169
1,30
1,4
1,38
1,7
1,4
1,4
1,13
1,10
1,40
1,57
1,22
1,37
1,127
1,12
1,8
1,1
1,21
1,104
1,8
1,23
1,1
1,6
1,141
1,3
1,21
1,3
1,18
1,0.5
1,75
1,92
1,39
1,29
1,3
1,2
1,158
1,30
1,24
1,5
1,92
1,7
1,33
1,20
1,16
1,292
1,3
1,9
1,12
1,18
1,9
1,75
1,15
1,46
1,9
1,94
1,25
1,175
1,5
1,12
1,18
1,70
1,3
1,10
1,114
1,213
1,212
1,4
1,5
1,106
1,264
1,269
1,276
1,1
1,203
1,117
1,1
1,45
1,5
1,110
1,18
1,10
1,179
1,66
1,1
1,106
1,2
1,19
1,117
1,30
1,130
1,31
1,28
1,4
1,302
1,362
1,5
1,63
1,42
1,86
1,258
1,294
1,256
1,118
1,13
1,47
1,92
1,343
1,128
1,392
1,90
1,116
1,35
1,171
1,139
1,110
1,98
1,60
1,90
1,82
1,5
1,30
1,35
1,231
1,62
1,158
1,1622
1,353
1,33
1,70
1,35
1,116
1,809
1,1710
1,745
1,350
1,470
1,122
1,244
1,2384
1,249
1,607
1,83
1,2
1,26
1,586
1,352
1,673
1,330
1,649
1,123
1,1789
1,1288
1,111
1,75
1,74
1,333
1,287
1,1
1,881
1,13
1,1314
1,472
1,363
1,6
1,4
1,55
1,409
1,36
1,15
1,1404
1,17
1,71
1,34
1,434
1,60
1,19
1,20
1,79
1,24
1,540
1,1040
1,38
1,78
1,41
1,1757
1,205
1,2095
1,788
1,1
1,2668
1,470
1,10
1,20
1,338
1,222
1,28
1,56
1,561
1,65
1,100
1,900
1,212
1,287
1,53
1,3
1,4973
1,197
1,1174
1,783
1,1346
1,59
1,98
1,1594
1,25
1,98
1,722
1,228
1,78
1,33
1,453
1,1020
1,4327
1,925
1,302
1,649
1,43
1,185
1,157
1,30
1,1771
1,1088
1,556
1,55
1,4892
1,81
1,61
1,476
1,63
1,3
1,3
1,62
1,1
1,44
1,1236
1,1406
1,109
1,1471
1,1797
1,1749
1,2096
1,76
1,2167
1,2059
1,2177
1,1893
1,198
1,3326
1,3100
1,586
1,2686
1,124
1,229
1,1008
